HelmRelease_ID,HelmRelease_Name,ChartRef_Name,OCIRepository_ID,OCIRepository_Name,OCIRepository_URL,Resource_ID,Resource_Name,Resource_ReferencePath,Resource_ResourceName,HelmRelease_Conditions,OCIRepository_Conditions
umsHelmRelease,${ schema.spec.prefix }-ums-release,${ umsOCIRepository.metadata.name },umsOCIRepository,${schema.spec.prefix}-ums-repository,oci://${ umsResourceChart.status.additional.?registry }/${ umsResourceChart.status.additional.?repository },umsResourceChart,${ schema.spec.prefix }-ums-resource,nubus,helm-chart-nubus,['${schema.spec.components.ums}'],['${schema.spec.components.ums}']
intercomserviceHelmRelease,${ schema.spec.prefix }-intercom-service-release,${ intercomserviceOCIRepository.metadata.name },intercomserviceOCIRepository,${schema.spec.prefix}-intercom-service-repository,oci://${ intercomserviceResourceChart.status.additional.?registry }/${ intercomserviceResourceChart.status.additional.?repository },intercomserviceResourceChart,${ schema.spec.prefix }-intercom-service-resource,nubus,helm-chart-intercom-service,['${schema.spec.components.intercomService}'],['${schema.spec.components.intercomService}']
opendeskkeycloakbootstrapHelmRelease,${ schema.spec.prefix }-opendesk-keycloak-bootstrap-release,${ opendeskkeycloakbootstrapOCIRepository.metadata.name },opendeskkeycloakbootstrapOCIRepository,${schema.spec.prefix}-opendesk-keycloak-bootstrap-repository,oci://${ opendeskkeycloakbootstrapResourceChart.status.additional.?registry }/${ opendeskkeycloakbootstrapResourceChart.status.additional.?repository },opendeskkeycloakbootstrapResourceChart,${ schema.spec.prefix }-opendesk-keycloak-bootstrap-resource,nubus,helm-chart-opendesk-keycloak-bootstrap,['${schema.spec.components.keycloak}'],['${schema.spec.components.keycloak}']
nginxs3gatewayHelmRelease,${ schema.spec.prefix }-nginx-s3-gateway-release,${ nginxs3gatewayOCIRepository.metadata.name },nginxs3gatewayOCIRepository,${schema.spec.prefix}-nginx-s3-gateway-repository,oci://${ nginxs3gatewayResourceChart.status.additional.?registry }/${ nginxs3gatewayResourceChart.status.additional.?repository },nginxs3gatewayResourceChart,${ schema.spec.prefix }-nginx-s3-gateway-resource,nubus,helm-chart-nginx-s3-gateway,['${schema.spec.components.nginxS3Gateway}'],['${schema.spec.components.nginxS3Gateway}']
dovecotHelmRelease,${ schema.spec.prefix }-dovecot-release,${ dovecotOCIRepository.metadata.name },dovecotOCIRepository,${schema.spec.prefix}-dovecot-repository,oci://${ dovecotResourceChart.status.additional.?registry }/${ dovecotResourceChart.status.additional.?repository },dovecotResourceChart,${ schema.spec.prefix }-dovecot-resource,open-xchange,helm-chart-dovecot,['${schema.spec.components.dovecot}'],['${schema.spec.components.dovecot}']
opendeskopenxchangebootstrapHelmRelease,${ schema.spec.prefix }-opendesk-open-xchange-bootstrap-release,${ opendeskopenxchangebootstrapOCIRepository.metadata.name },opendeskopenxchangebootstrapOCIRepository,${schema.spec.prefix}-opendesk-open-xchange-bootstrap-repository,oci://${ opendeskopenxchangebootstrapResourceChart.status.additional.?registry }/${ opendeskopenxchangebootstrapResourceChart.status.additional.?repository },opendeskopenxchangebootstrapResourceChart,${ schema.spec.prefix }-opendesk-open-xchange-bootstrap-resource,open-xchange,helm-chart-opendesk-open-xchange-bootstrap,['${schema.spec.components.openXchange}'],['${schema.spec.components.openXchange}']
openxchangeHelmRelease,${ schema.spec.prefix }-open-xchange-release,${ openxchangeOCIRepository.metadata.name },openxchangeOCIRepository,${schema.spec.prefix}-open-xchange-repository,oci://${ openxchangeResourceChart.status.additional.?registry }/${ openxchangeResourceChart.status.additional.?repository },openxchangeResourceChart,${ schema.spec.prefix }-open-xchange-resource,open-xchange,helm-chart-appsuite-public-sector,['${schema.spec.components.openXchange}'],['${schema.spec.components.openXchange}']
oxconnectorHelmRelease,${ schema.spec.prefix }-ox-connector-release,${ oxconnectorOCIRepository.metadata.name },oxconnectorOCIRepository,${schema.spec.prefix}-ox-connector-repository,oci://${ oxconnectorResourceChart.status.additional.?registry }/${ oxconnectorResourceChart.status.additional.?repository },oxconnectorResourceChart,${ schema.spec.prefix }-ox-connector-resource,open-xchange,helm-chart-ox-connector,['${schema.spec.components.oXConnector}'],['${schema.spec.components.oXConnector}']
opendesknextcloudmanagementHelmRelease,${ schema.spec.prefix }-opendesk-nextcloud-management-release,${ opendesknextcloudmanagementOCIRepository.metadata.name },opendesknextcloudmanagementOCIRepository,${schema.spec.prefix}-opendesk-nextcloud-management-repository,oci://${ opendesknextcloudmanagementResourceChart.status.additional.?registry }/${ opendesknextcloudmanagementResourceChart.status.additional.?repository },opendesknextcloudmanagementResourceChart,${ schema.spec.prefix }-opendesk-nextcloud-management-resource,nextcloud,helm-chart-opendesk-nextcloud-management,['${schema.spec.components.nextcloud}'],['${schema.spec.components.nextcloud}']
opendesknextcloudHelmRelease,${ schema.spec.prefix }-opendesk-nextcloud-release,${ opendesknextcloudOCIRepository.metadata.name },opendesknextcloudOCIRepository,${schema.spec.prefix}-opendesk-nextcloud-repository,oci://${ opendesknextcloudResourceChart.status.additional.?registry }/${ opendesknextcloudResourceChart.status.additional.?repository },opendesknextcloudResourceChart,${ schema.spec.prefix }-opendesk-nextcloud-resource,nextcloud,helm-chart-opendesk-nextcloud,['${schema.spec.components.nextcloud}'],['${schema.spec.components.nextcloud}']
opendeskelementHelmRelease,${ schema.spec.prefix }-opendesk-element-release,${ opendeskelementOCIRepository.metadata.name },opendeskelementOCIRepository,${schema.spec.prefix}-opendesk-element-repository,oci://${ opendeskelementResourceChart.status.additional.?registry }/${ opendeskelementResourceChart.status.additional.?repository },opendeskelementResourceChart,${ schema.spec.prefix }-opendesk-element-resource,element,helm-chart-opendesk-element,['${schema.spec.components.element}'],['${schema.spec.components.element}']
